file,lines,exports,functions
01-utils.js,56,0,6
10-president-state.js,145,0,4
100-h0-battle-briefing.js,265,0,15
101-h0-between-battle.js,187,0,14
102-h0-tactical-hud.js,156,0,5
103-h0-after-action.js,156,0,11
104-h2-cutaways.js,179,0,13
105-save-guard.js,79,0,2
20-president-render.js,220,0,6
21-photo-embed.js,195,0,12
30-president-shell.js,277,0,5
31-cabinet.js,473,0,21
32-decisions.js,263,0,18
33-morale.js,180,0,7
34-press.js,216,0,14
35-command.js,2249,0,130
36-camp.js,228,0,11
37-loot-survival.js,1407,0,115
38-women-in-war.js,212,0,25
40-economy.js,255,0,10
50-production.js,145,0,6
51-scenes-imagery.js,106,0,1
52-leaders-imagery.js,172,0,1
53-usct-imagery.js,95,0,1
54-arms-imagery.js,36,0,1
55-weapons.js,191,0,14
56-artillery.js,235,0,17
57-engineering.js,218,0,16
58-terrain-cover.js,136,0,7
59-armory-field.js,124,0,4
60-blockade.js,390,0,12
61-logistics-rail.js,271,0,18
62-prisoner-exchange.js,327,0,21
63-disease-medical.js,292,0,18
64-hard-war.js,295,0,20
65-irregular-war.js,325,0,21
66-under-told-perspectives.js,311,0,20
67-flagship-units.js,364,0,26
68-primary-sources.js,193,0,20
69-cs-finance.js,335,0,22
70-manpower.js,301,0,13
71-real-diplomacy.js,333,0,26
72-human-cost.js,236,0,18
73-western-theater.js,255,0,20
80-victory.js,383,0,10
81-divergence.js,314,0,8
82-after-action.js,477,0,15
83-endings.js,383,0,15
84-codex.js,276,0,18
85-battle-bridge.js,363,0,10
86-battle-conditioning.js,150,0,3
87-auto-resolve.js,165,0,7
90-president-register.js,86,0,2
91-save-slots.js,413,0,32
92-help-overlay.js,450,0,7
93-glossary.js,230,0,10
94-tutorial.js,202,0,11
95-playstyle.js,322,0,20
96-realism-teaching.js,211,0,7
97-accessibility.js,460,0,22
98-h0-main-menu.js,562,0,23
99-h0-president-desk.js,370,0,21
